Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
19929642,Hidroxizina,Hidroxicina 25 mg,mg,Tableta,Hidroxicina Clorhidrato,Pentacoop,Hidroxicina Clorhidrato (Pentacoop) - Cada Tableta contiene: Hidroxicina 25 mg,Comercial,126.0542032,Bajo,1
19929683,Gentamicina,Gentamicina 3 mg,ml,Frasco,Gentamicina,Colmed,Gentamicina (Colmed) - Frasco 6 ml - Cada 1 ml contiene: Gentamicina 3 mg,Comercial,5524.939527,Bajo,1
19929683,Gentamicina,Gentamicina 3 mg,ml,Frasco,Gentamicina,Colmed,Gentamicina (Colmed) - Frasco 6 ml - Cada 1 ml contiene: Gentamicina 3 mg,Institucional,1519.807426,Bajo,1
19929758,Sertralina,Sertralina 100 mg,mg,Tableta,Zolof,Pfizer,Zolof (Pfizer) - Cada Tableta contiene: Sertralina 100 mg,Comercial,15256,Alto,3
19929758,Sertralina,Sertralina 100 mg,mg,Tableta,Zolof,Pfizer,Zolof (Pfizer) - Cada Tableta contiene: Sertralina 100 mg,Institucional,7830.839206,Alto,3
19929778,Metformina,Metformina 850 mg,mg,Tableta,Diglufor,Labquifar,Diglufor (Labquifar) - Cada Tableta contiene: Metformina 850 mg,Comercial,271.4646004,Medio,2
19929778,Metformina,Metformina 850 mg,mg,Tableta,Diglufor,Labquifar,Diglufor (Labquifar) - Cada Tableta contiene: Metformina 850 mg,Institucional,75,Bajo,1
19929840,Levosimendan,"Levosimendan 12,5 mg",ml,Vial,Daxim,Abbvie,"Daxim (Abbvie) - Vial 5 ml - Cada 5 ml contiene: Levosimendan 12,5 mg",Institucional,1614836.99,Medio,2
19929856,Cefalexina,Cefalexina 500 mg,mg,Capsula,Cefalexina,Bussié,Cefalexina (Bussié) - Cada Capsula contiene: Cefalexina 500 mg,Comercial,496.1006869,Medio,2
19929856,Cefalexina,Cefalexina 500 mg,mg,Capsula,Cefalexina,Bussié,Cefalexina (Bussié) - Cada Capsula contiene: Cefalexina 500 mg,Institucional,305.2215447,Medio,2
19929866,Gabapentin,Gabapentin 400 mg,mg,Capsula,Kaptin,Legrand,Kaptin (Legrand) - Cada Capsula contiene: Gabapentin 400 mg,Comercial,512.3345818,Alto,3
19929866,Gabapentin,Gabapentin 400 mg,mg,Capsula,Kaptin,Legrand,Kaptin (Legrand) - Cada Capsula contiene: Gabapentin 400 mg,Institucional,218.0536913,Bajo,1
19929989,Losartan,Losartan 50 mg,mg,Tableta,Arapres-Anzg,Anzg,Arapres-Anzg (Anzg) - Cada Tableta contiene: Losartan 50 mg,Comercial,4500,Alto,3
19929991,Omeprazol,Omeprazol 20 mg,mg,Capsula,Gastrosef,Anzg,Gastrosef (Anzg) - Cada Capsula contiene: Omeprazol 20 mg,Comercial,3142.857143,Alto,3
19930002,Ketotifeno,"Ketotifeno 0,5 mg",ml,Frasco,Kenaler,Especialidades Oftmalmologicas,"Kenaler (Especialidades Oftmalmologicas) - Frasco 5 ml - Cada 1 ml contiene: Ketotifeno 0,5 mg",Institucional,73055.29328,Medio,2
19930002,Ketotifeno,"Ketotifeno 0,5 mg",ml,Frasco,Kenaler,Especialidades Oftmalmologicas,"Kenaler (Especialidades Oftmalmologicas) - Frasco 5 ml - Cada 1 ml contiene: Ketotifeno 0,5 mg",Comercial,9402.871921,Alto,3
19930138,Clopidogrel,Clopidogrel 75 mg,mg,Tableta,Ateplax,Procaps,Ateplax (Procaps) - Cada Tableta contiene: Clopidogrel 75 mg,Institucional,778.0546624,Alto,3
19930139,Cefadroxilo,Cefadroxilo 500 mg,mg,Capsula,Cefadroxilo,Genfar,Cefadroxilo (Genfar) - Cada Capsula contiene: Cefadroxilo 500 mg,Comercial,3158.231572,Bajo,1
19930139,Cefadroxilo,Cefadroxilo 500 mg,mg,Capsula,Cefadroxilo,Genfar,Cefadroxilo (Genfar) - Cada Capsula contiene: Cefadroxilo 500 mg,Institucional,353.3476466,Bajo,1
19930240,Vardenafil,Vardenafil 20 mg,mg,Tableta,Levitra,Bayer,Levitra (Bayer) - Cada Tableta contiene: Vardenafil 20 mg,Comercial,55977.75,Alto,3
19930241,Vardenafil,Vardenafil 10 mg,mg,Tableta,Levitra,Bayer,Levitra (Bayer) - Cada Tableta contiene: Vardenafil 10 mg,Comercial,38098,Medio,2
19930255,Hidroclorotiazida Y Candesartan,"Candesartan 16 mg + Hidroclorotiazida 12,5 mg",mg,Tableta,Atacand Plus,Astrazeneca,"Atacand Plus (Astrazeneca) - Cada Tableta contiene: Candesartan 16 mg + Hidroclorotiazida 12,5 mg",Comercial,1515,Bajo,1
19930255,Hidroclorotiazida Y Candesartan,"Candesartan 16 mg + Hidroclorotiazida 12,5 mg",mg,Tableta,Atacand Plus,Astrazeneca,"Atacand Plus (Astrazeneca) - Cada Tableta contiene: Candesartan 16 mg + Hidroclorotiazida 12,5 mg",Institucional,1515,Alto,3
19930281,Acido Salicilico + Acido Benzoico + Azufre Precipitado,"Azufre Precipitado 5 g + Acido Salicilico 2,5 g + Ácido Benzoico 5 g",g,Frasco,Nixoderm,Incobra,"Nixoderm (Incobra) - Frasco 20 g - Cada 100 g contiene: Azufre Precipitado 5 g + Acido Salicilico 2,5 g + Ácido Benzoico 5 g",Comercial,5799,Medio,2
19930281,Acido Salicilico + Acido Benzoico + Azufre Precipitado,"Ácido Benzoico 5 g + Azufre Precipitado 5 g + Acido Salicilico 2,5 g",g,Frasco,Nixoderm,Incobra,"Nixoderm (Incobra) - Frasco 20 g - Cada 100 g contiene: Ácido Benzoico 5 g + Azufre Precipitado 5 g + Acido Salicilico 2,5 g",Comercial,7364.440896,Medio,2
19930287,Atropina,Atropina 1 mg,ml,Ampolla,Atropina,Sanderson,Atropina (Sanderson) - Ampolla 1 ml - Cada 1 ml contiene: Atropina 1 mg,Institucional,6.973516949,Medio,2
19930311,Metilfenidato,"Metilfenidato 3,76 mg + Metilfenidato 10,24 mg + Metilfenidato 4 mg",mg,Tableta,Concerta,Janssen,"Concerta (Janssen) - Cada Tableta contiene: Metilfenidato 3,76 mg + Metilfenidato 10,24 mg + Metilfenidato 4 mg",Institucional,2324.333333,Medio,2
19930311,Metilfenidato,"Metilfenidato 3,76 mg + Metilfenidato 10,24 mg + Metilfenidato 4 mg",mg,Tableta,Concerta,Janssen,"Concerta (Janssen) - Cada Tableta contiene: Metilfenidato 3,76 mg + Metilfenidato 10,24 mg + Metilfenidato 4 mg",Comercial,2324.333333,Medio,2
19930312,Metilfenidato,"Metilfenidato 7,52 mg + Metilfenidato 20,48 mg + Metilfenidato 8 mg",mg,Tableta,Concerta,Janssen,"Concerta (Janssen) - Cada Tableta contiene: Metilfenidato 7,52 mg + Metilfenidato 20,48 mg + Metilfenidato 8 mg",Institucional,4648.666667,Medio,2
19930312,Metilfenidato,"Metilfenidato 7,52 mg + Metilfenidato 20,48 mg + Metilfenidato 8 mg",mg,Tableta,Concerta,Janssen,"Concerta (Janssen) - Cada Tableta contiene: Metilfenidato 7,52 mg + Metilfenidato 20,48 mg + Metilfenidato 8 mg",Comercial,4648.666667,Medio,2
19930372,Desloratadina,"Desloratadina 0,5 mg",ml,Frasco,Desalex,Merck,"Desalex (Merck) - Frasco 60 ml - Cada 1 ml contiene: Desloratadina 0,5 mg",Comercial,83557,Bajo,1
19930372,Desloratadina,"Desloratadina 0,5 mg",ml,Frasco,Desalex,Merck,"Desalex (Merck) - Frasco 60 ml - Cada 1 ml contiene: Desloratadina 0,5 mg",Institucional,40147.64865,Medio,2
19930372,Desloratadina,"Desloratadina 0,5 mg",ml,Frasco,Desalex,Merck,"Desalex (Merck) - Frasco 150 ml - Cada 1 ml contiene: Desloratadina 0,5 mg",Comercial,131734,Alto,3
19930373,Desloratadina,Desloratadina 50 mg,ml,Frasco,Aerius,Merck,Aerius (Merck) - Frasco 60 ml - Cada 100 ml contiene: Desloratadina 50 mg,Comercial,83557,Alto,3
19930373,Desloratadina,Desloratadina 50 mg,ml,Frasco,Aerius,Merck,Aerius (Merck) - Frasco 60 ml - Cada 100 ml contiene: Desloratadina 50 mg,Institucional,38313.33333,Medio,2
19930410,Valsartan,Valsartan 80 mg,mg,Capsula,Valsartan,Mk,Valsartan (Mk) - Cada Capsula contiene: Valsartan 80 mg,Comercial,547.704686,Alto,3
19930410,Valsartan,Valsartan 80 mg,mg,Capsula,Valsartan,Mk,Valsartan (Mk) - Cada Capsula contiene: Valsartan 80 mg,Institucional,472.0704501,Alto,3
19930412,Valsartan,Valsartan 160 mg,mg,Capsula,Valsartan,Mk,Valsartan (Mk) - Cada Capsula contiene: Valsartan 160 mg,Comercial,1147.510711,Medio,2
19930412,Valsartan,Valsartan 160 mg,mg,Capsula,Valsartan,Mk,Valsartan (Mk) - Cada Capsula contiene: Valsartan 160 mg,Institucional,902.8606965,Alto,3
19930423,Metoclopramida,Metoclopramida 4 mg,ml,Frasco,Metoclopramida,Bussié,Metoclopramida (Bussié) - Frasco 30 ml - Cada 1 ml contiene: Metoclopramida 4 mg,Comercial,4448.256636,Medio,2
19930423,Metoclopramida,Metoclopramida 4 mg,ml,Frasco,Metoclopramida,Bussié,Metoclopramida (Bussié) - Frasco 30 ml - Cada 1 ml contiene: Metoclopramida 4 mg,Institucional,2287.819419,Alto,3
19930427,Levotiroxina Sodica,Levotiroxina Sodica 25 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 25 mcg,Comercial,743,Medio,2
19930427,Levotiroxina Sodica,Levotiroxina Sodica 25 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 25 mcg,Institucional,646.3954545,Alto,3
19930428,Levotiroxina Sodica,Levotiroxina Sodica 50 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 50 mcg,Comercial,767.6444444,Alto,3
19930428,Levotiroxina Sodica,Levotiroxina Sodica 50 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 50 mcg,Institucional,633.4196242,Alto,3
19930429,Levotiroxina Sodica,Levotiroxina Sodica 75 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 75 mcg,Comercial,895.6444444,Medio,2
19930429,Levotiroxina Sodica,Levotiroxina Sodica 75 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 75 mcg,Institucional,755.4988864,Alto,3
19930430,Levotiroxina Sodica,Levotiroxina Sodica 88 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 88 mcg,Comercial,930.4222222,Bajo,1
19930430,Levotiroxina Sodica,Levotiroxina Sodica 88 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 88 mcg,Institucional,687.3850711,Alto,3
19930431,Levotiroxina Sodica,Levotiroxina Sodica 100 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 100 mcg,Comercial,1045.777778,Alto,3
19930431,Levotiroxina Sodica,Levotiroxina Sodica 100 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 100 mcg,Institucional,886.4877451,Alto,3
19930432,Levotiroxina Sodica,Lactulosa 112 mcg + Levotiroxina Sodica 112 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Lactulosa 112 mcg + Levotiroxina Sodica 112 mcg,Comercial,1186.155556,Medio,2
19930432,Levotiroxina Sodica,Lactulosa 112 mcg + Levotiroxina Sodica 112 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Lactulosa 112 mcg + Levotiroxina Sodica 112 mcg,Institucional,908.7813765,Medio,2
19930433,Levotiroxina Sodica,Levotiroxina Sodica 125 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 125 mcg,Comercial,1425.244444,Medio,2
19930433,Levotiroxina Sodica,Levotiroxina Sodica 125 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 125 mcg,Institucional,1108.888889,Alto,3
19930434,Levotiroxina Sodica,Levotiroxina Sodica 150 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 150 mcg,Comercial,1577.466667,Medio,2
19930434,Levotiroxina Sodica,Levotiroxina Sodica 150 mcg,mcg,Tableta,Synthroid,Lafrancol,Synthroid (Lafrancol) - Cada Tableta contiene: Levotiroxina Sodica 150 mcg,Institucional,1238.22029,Alto,3
19930439,Mometasona,"Mometasona 0,05 g",g,Spray,Mometasyn,Synthesis,"Mometasyn (Synthesis) - Spray 10 g - Cada 100 ml contiene: Mometasona 0,05 g",Comercial,54506,Bajo,1
19930439,Mometasona,"Mometasona 0,05 g",g,Spray,Mometasyn,Synthesis,"Mometasyn (Synthesis) - Spray 10 g - Cada 100 ml contiene: Mometasona 0,05 g",Institucional,21169.78957,Medio,2
19930439,Mometasona,"Mometasona 0,05 g",g,Spray,Mometasyn,Synthesis,"Mometasyn (Synthesis) - Spray 20 g - Cada 100 ml contiene: Mometasona 0,05 g",Comercial,84094,Alto,3
19930439,Mometasona,"Mometasona 0,05 g",g,Spray,Mometasyn,Synthesis,"Mometasyn (Synthesis) - Spray 20 g - Cada 100 ml contiene: Mometasona 0,05 g",Institucional,42296.08742,Alto,3
19930572,Oxibutinina,Oxibutinina 5 mg,mg,Tableta,Uropran,Tecnoquimicas,Uropran (Tecnoquimicas) - Cada Tableta contiene: Oxibutinina 5 mg,Comercial,3071.334075,Alto,3
19930572,Oxibutinina,Oxibutinina 5 mg,mg,Tableta,Uropran,Tecnoquimicas,Uropran (Tecnoquimicas) - Cada Tableta contiene: Oxibutinina 5 mg,Institucional,188.4407115,Medio,2
19930573,Acido Acetilsalicilico,Acido Acetilsalicilico 100 mg,mg,Tableta,Asa Mk,Tecnoquimicas,Asa Mk (Tecnoquimicas) - Cada Tableta contiene: Acido Acetilsalicilico 100 mg,Comercial,183.7878103,Medio,2
19930573,Acido Acetilsalicilico,Acido Acetilsalicilico 100 mg,mg,Tableta,Asa Mk,Tecnoquimicas,Asa Mk (Tecnoquimicas) - Cada Tableta contiene: Acido Acetilsalicilico 100 mg,Institucional,76.76247849,Medio,2
19930589,Progesterona,Progesterona 200 mg,mg,Capsula,Utrogestan,Besins Healthcare,Utrogestan (Besins Healthcare) - Cada Capsula contiene: Progesterona 200 mg,Institucional,6220,Alto,3
19930589,Progesterona,Progesterona 200 mg,mg,Capsula,Utrogestan,Besins Healthcare,Utrogestan (Besins Healthcare) - Cada Capsula contiene: Progesterona 200 mg,Comercial,6220,Bajo,1
19930610,Acido Alendronico,Acido Alendronico   70 mg,mg,Tableta,Alendronato,Mk,Alendronato (Mk) - Cada Tableta contiene: Acido Alendronico   70 mg,Comercial,8843.65439,Alto,3
19930610,Acido Alendronico,Acido Alendronico   70 mg,mg,Tableta,Alendronato,Mk,Alendronato (Mk) - Cada Tableta contiene: Acido Alendronico   70 mg,Institucional,529.0614525,Alto,3
19930616,Cetirizina,Cetirizina 10 mg,mg,Tableta,Zyrfar,Patmar,Zyrfar (Patmar) - Cada Tableta contiene: Cetirizina 10 mg,Comercial,2552.598299,Alto,3
19930724,Glucosamina Y Condroitina,Condroitin Sulfato 1200 mg + Glucosamina Sulfato 1500 g,g,Sobre,Flexure,Procaps,Flexure (Procaps) - Cada Sobre contiene: Condroitin Sulfato 1200 mg + Glucosamina Sulfato 1500 g,Institucional,1380,Medio,2
19930724,Glucosamina Y Condroitina,Condroitin Sulfato 1200 g + Glucosamina Sulfato 1500 mg,g,Sobre,Flexure,Procaps,Flexure (Procaps) - Cada Sobre contiene: Condroitin Sulfato 1200 g + Glucosamina Sulfato 1500 mg,Comercial,5835,Medio,2
19930724,Glucosamina Y Condroitina,Condroitin Sulfato 1200 g + Glucosamina Sulfato 1500 mg,g,Sobre,Flexure,Procaps,Flexure (Procaps) - Cada Sobre contiene: Condroitin Sulfato 1200 g + Glucosamina Sulfato 1500 mg,Institucional,1586.8,Medio,2
19930835,Cinitaprida,Cinitaprida 1 mg,mg,Tableta,Endial,Mega Labs,Endial (Mega Labs) - Cada Tableta contiene: Cinitaprida 1 mg,Institucional,3113.37971,Medio,2
19930835,Cinitaprida,Cinitaprida 1 mg,mg,Tableta,Endial,Mega Labs,Endial (Mega Labs) - Cada Tableta contiene: Cinitaprida 1 mg,Comercial,3511.1,Medio,2
19930841,Secnidazol,Secnidazol 1 g,g,Tableta,Bianos,Procaps,Bianos (Procaps) - Cada Tableta contiene: Secnidazol 1 g,Comercial,7790.920716,Medio,2
19930841,Secnidazol,Secnidazol 1 g,g,Tableta,Bianos,Procaps,Bianos (Procaps) - Cada Tableta contiene: Secnidazol 1 g,Institucional,1116.981507,Medio,2
19930849,Fluconazol,Fluconazol 200 mg,mg,Capsula,Fluconazol,La Sante,Fluconazol (La Sante) - Cada Capsula contiene: Fluconazol 200 mg,Comercial,2203.295017,Medio,2
19930887,Sulfadiazina De Plata,Sulfadiazina De Plata 1 mg,g,Tubo,Sulfadiazina De Plata,Genfar,Sulfadiazina De Plata (Genfar) - Tubo 15 g - Cada 100 g contiene: Sulfadiazina De Plata 1 mg,Comercial,6698.46185,Bajo,1
19930887,Sulfadiazina De Plata,Sulfadiazina De Plata 1 mg,g,Tubo,Sulfadiazina De Plata,Genfar,Sulfadiazina De Plata (Genfar) - Tubo 15 g - Cada 100 g contiene: Sulfadiazina De Plata 1 mg,Institucional,2104.694228,Bajo,1
19930887,Sulfadiazina De Plata,Sulfadiazina De Plata 1 mg,g,Tubo,Sulfadiazina De Plata,Genfar,Sulfadiazina De Plata (Genfar) - Tubo 30 g - Cada 100 g contiene: Sulfadiazina De Plata 1 mg,Comercial,10294.71968,Alto,3
19930887,Sulfadiazina De Plata,Sulfadiazina De Plata 1 mg,g,Tubo,Sulfadiazina De Plata,Genfar,Sulfadiazina De Plata (Genfar) - Tubo 30 g - Cada 100 g contiene: Sulfadiazina De Plata 1 mg,Institucional,3026.544607,Alto,3
19930893,Ipatropio Bromuro,"Bromuro De Ipratropio 0,02 mg",ml,Inhalador,Atrovent,Boehringer,"Atrovent (Boehringer) - Inhalador 10 ml - Cada 100 ml contiene: Bromuro De Ipratropio 0,02 mg",Comercial,17873.59691,Medio,2
19930893,Ipatropio Bromuro,"Bromuro De Ipratropio 0,02 mg",ml,Inhalador,Atrovent,Boehringer,"Atrovent (Boehringer) - Inhalador 10 ml - Cada 100 ml contiene: Bromuro De Ipratropio 0,02 mg",Institucional,16982.24749,Medio,2
19930964,Dexametasona,Dexametasona 4 g,ml,Ampolla,Dexametasona,Biosano,Dexametasona (Biosano) - Ampolla 1 ml - Cada 1 ml contiene: Dexametasona 4 g,Institucional,4.035476839,Medio,2
19930982,Aciclovir,Aciclovir 800 mg,mg,Tableta,Virex Z,Eurofarma,Virex Z (Eurofarma) - Cada Tableta contiene: Aciclovir 800 mg,Comercial,6993.750741,Alto,3
19930982,Aciclovir,Aciclovir 800 mg,mg,Tableta,Virex Z,Eurofarma,Virex Z (Eurofarma) - Cada Tableta contiene: Aciclovir 800 mg,Institucional,1066.666667,Alto,3
19930999,Fluorouracilo,Fluorouracilo 5 g,g,Tubo,5-Fluorouracil Gel,Quifarma,5-Fluorouracil Gel (Quifarma) - Tubo 30 g - Cada 100 g contiene: Fluorouracilo 5 g,Comercial,97586.88693,Alto,3
19930999,Fluorouracilo,Fluorouracilo 5 mg,g,Tubo,5-Fluorouracil Gel,Quifarma,5-Fluorouracil Gel (Quifarma) - Tubo 30 g - Cada 100 g contiene: Fluorouracilo 5 mg,Institucional,70382.26829,Medio,2
19931043,Hidroclorotiazida Y Valsartan,Hidroclorotiazida 25 mg + Valsartan 160 mg,mg,Tableta,Diovan,Novartis,Diovan (Novartis) - Cada Tableta contiene: Hidroclorotiazida 25 mg + Valsartan 160 mg,Comercial,1559.785714,Medio,2
19931043,Hidroclorotiazida Y Valsartan,Hidroclorotiazida 25 mg + Valsartan 160 mg,mg,Tableta,Diovan,Novartis,Diovan (Novartis) - Cada Tableta contiene: Hidroclorotiazida 25 mg + Valsartan 160 mg,Institucional,1039.714286,Medio,2
19931051,Betametasona,Betametasona 4 mg,ml,Ampolla,Betametasona,Biosano,Betametasona (Biosano) - Ampolla 1 ml - Cada 1 ml contiene: Betametasona 4 mg,Institucional,4.579038462,Bajo,1
19931060,Fluorometolona,Fluorometolona 1 mg,ml,Frasco,Flumetol,Sophia,Flumetol (Sophia) - Frasco 5 ml - Cada 1 ml contiene: Fluorometolona 1 mg,Comercial,33412.75314,Alto,3
19931060,Fluorometolona,Fluorometolona 1 mg,ml,Frasco,Flumetol,Sophia,Flumetol (Sophia) - Frasco 5 ml - Cada 1 ml contiene: Fluorometolona 1 mg,Institucional,5619.210698,Medio,2
19931073,Zofenopril,Zofenopril 30 mg,mg,Tableta,Bifril,Lusofarmaco,Bifril (Lusofarmaco) - Cada Tableta contiene: Zofenopril 30 mg,Comercial,3558.282675,Medio,2
19931073,Zofenopril,Zofenopril 30 mg,mg,Tableta,Bifril,Lusofarmaco,Bifril (Lusofarmaco) - Cada Tableta contiene: Zofenopril 30 mg,Institucional,2688.118812,Medio,2
19931121,Aminoacidos,Aminoacidos,ml,Frasco,Aminoven 15%,Fresenius,Aminoven 15% (Fresenius) - Frasco 500 ml - Cada 100 ml contiene: Aminoacidos,Institucional,5578.910968,Bajo,1
19931121,Aminoacidos,Aminoacidos,ml,Frasco,Aminoven 15%,Fresenius,Aminoven 15% (Fresenius) - Frasco 1000 ml - Cada 100 ml contiene: Aminoacidos,Institucional,15247.90691,Medio,2
19931123,Aminoacidos,Aminoacidos,ml,Frasco,Aminoven 10%,Fresenius,Aminoven 10% (Fresenius) - Frasco 500 ml - Cada 100 ml contiene: Aminoacidos,Institucional,3494.893948,Bajo,1
19931123,Aminoacidos,Aminoacidos,ml,Frasco,Aminoven 10%,Fresenius,Aminoven 10% (Fresenius) - Frasco 1000 ml - Cada 100 ml contiene: Aminoacidos,Institucional,8868.83759,Medio,2
19931135,Ketoconazol,Ketoconazol 2 mg,ml,Frasco,Ketomed,Mega Labs,Ketomed (Mega Labs) - Frasco 100 ml - Cada 100 ml contiene: Ketoconazol 2 mg,Comercial,75507.47856,Medio,2
19931135,Ketoconazol,Ketoconazol 2 mg,ml,Frasco,Ketomed,Mega Labs,Ketomed (Mega Labs) - Frasco 100 ml - Cada 100 ml contiene: Ketoconazol 2 mg,Institucional,20981.17157,Medio,2
19931153,Colchicina,"Colchicina 0,5 mg",mg,Tableta,Colchicina,Pentacoop,"Colchicina (Pentacoop) - Cada Tableta contiene: Colchicina 0,5 mg",Comercial,248.4807933,Medio,2
19931216,Ampicilina Y Sulbactam,"Ampicilina 1 g + Sulbactam Sódico 0,5 g",g,Vial,Ampicilina,Farmalogica,"Ampicilina (Farmalogica) - Cada Vial contiene: Ampicilina 1 g + Sulbactam Sódico 0,5 g",Comercial,1855.051133,Bajo,1
19931216,Ampicilina Y Sulbactam,"Ampicilina 1 g + Sulbactam Sódico 0,5 g",g,Vial,Ampicilina,Farmalogica,"Ampicilina (Farmalogica) - Cada Vial contiene: Ampicilina 1 g + Sulbactam Sódico 0,5 g",Institucional,1935.086458,Medio,2
19931241,Fenoterol Y Bromuro De Ipratropio,"Bromhidrato De Fenoterol 0,5 mg + Bromuro De Ipratropio 0,25 mg",ml,Inhalador,Berodual,Boehringer,"Berodual (Boehringer) - Inhalador 20 ml - Cada 1 ml contiene: Bromhidrato De Fenoterol 0,5 mg + Bromuro De Ipratropio 0,25 mg",Comercial,27178.6935,Medio,2
19931241,Fenoterol Y Bromuro De Ipratropio,"Bromhidrato De Fenoterol 0,5 mg + Bromuro De Ipratropio 0,25 mg",ml,Inhalador,Berodual,Boehringer,"Berodual (Boehringer) - Inhalador 20 ml - Cada 1 ml contiene: Bromhidrato De Fenoterol 0,5 mg + Bromuro De Ipratropio 0,25 mg",Institucional,26147.65138,Medio,2
19931319,Potasio Citrato,Citrato De Potasio 1080 mg,mg,Tableta,Citro-K,Licol,Citro-K (Licol) - Cada Tableta contiene: Citrato De Potasio 1080 mg,Comercial,2745.597817,Alto,3
19931319,Potasio Citrato,Citrato De Potasio 1080 mg,mg,Tableta,Citro-K,Licol,Citro-K (Licol) - Cada Tableta contiene: Citrato De Potasio 1080 mg,Institucional,1105,Alto,3
19931425,Diclofenaco,Diclofenaco 75 mg,mg,Capsula,Pro Lertus,Farmaceutica Paraguaya,Pro Lertus (Farmaceutica Paraguaya) - Cada Capsula contiene: Diclofenaco 75 mg,Comercial,3795.254826,Medio,2
19931425,Diclofenaco,Diclofenaco 75 mg,mg,Capsula,Pro Lertus,Farmaceutica Paraguaya,Pro Lertus (Farmaceutica Paraguaya) - Cada Capsula contiene: Diclofenaco 75 mg,Institucional,1648.840035,Medio,2
19931426,Glucosamina Y Condroitina,Glucosamina Sulfato 1500 mg + Condroitin Sulfato 1200 mg,mg,Sobre,Curaflex,Monte Verde,Curaflex (Monte Verde) - Cada Sobre contiene: Glucosamina Sulfato 1500 mg + Condroitin Sulfato 1200 mg,Comercial,5973.311111,Medio,2
19931579,Hidroquinona + Fluocinolona Acetato + Tretinoina,"Hidroquinona 4 mg + Tretinoina 0,05 mcg + Fluocinolona Acetonida 0,01 mg",g,Tubo,Tri-Luma,Galderma,"Tri-Luma (Galderma) - Tubo 15 g - Cada 100 g contiene: Hidroquinona 4 mg + Tretinoina 0,05 mcg + Fluocinolona Acetonida 0,01 mg",Comercial,162477.9903,Medio,2
19931579,Hidroquinona + Fluocinolona Acetato + Tretinoina,"Hidroquinona 4 mg + Tretinoina 0,05 mcg + Fluocinolona Acetonida 0,01 mg",g,Tubo,Tri-Luma,Galderma,"Tri-Luma (Galderma) - Tubo 15 g - Cada 100 g contiene: Hidroquinona 4 mg + Tretinoina 0,05 mcg + Fluocinolona Acetonida 0,01 mg",Institucional,105929.6554,Medio,2
19931619,Ertapenem,Ertapenem 1 g,g,Vial,Invanz,Merck Sharp Dome,Invanz (Merck Sharp Dome) - Cada Vial contiene: Ertapenem 1 g,Institucional,88614.20482,Alto,3
19931663,Venlafaxina,"Venlafaxina 37,5 mg",mg,Capsula,Efexor,Pfizer,"Efexor (Pfizer) - Cada Capsula contiene: Venlafaxina 37,5 mg",Comercial,410,Medio,2
19931663,Venlafaxina,"Venlafaxina 37,5 mg",mg,Capsula,Efexor,Pfizer,"Efexor (Pfizer) - Cada Capsula contiene: Venlafaxina 37,5 mg",Institucional,394.3923736,Medio,2
19931764,Vancomicina,Vancomicina 500 mg,mg,Vial,Vancocin,Baxter,Vancocin (Baxter) - Cada Vial contiene: Vancomicina 500 mg,Institucional,893.2968421,Bajo,1
19931764,Vancomicina,Vancomicina 500 mg,mg,Vial,Vancocin,Baxter,Vancocin (Baxter) - Cada Vial contiene: Vancomicina 500 mg,Comercial,882.7891139,Bajo,1
