principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor
Amiodarona,Ampolla,Amiodarona 150 mg,ml,Amiodarona Solucion,Ads Pharma,3246.015936,Bajo,1
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina Maleato,Pentacoop,411.2525424,Medio,2
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Memphis,2674.347252,Medio,2
Cetirizina,Tableta Masticable,Cetirizina 10 mg,mg,Cetirax,Lafrancol,6401.6,Alto,3
Cetirizina,Tableta Masticable,Cetirizina 10 mg,mg,Cetirax,Lafrancol,3558.414313,Alto,3
Amoxicilina,Frasco,"Amoxicilina 2,5 g",g,Amoxicilina,Tecnoquimicas,5365.912042,Medio,2
Amoxicilina,Frasco,"Amoxicilina 2,5 g",g,Amoxicilina,Tecnoquimicas,3322.188029,Medio,2
Acetaminofen + Cafeina + Naproxeno,Tableta,Acetaminofen 250 mg + Naproxeno 220 mg + Cafeina 65 mg,mg,Movidol,Pauly,1164.494116,Bajo,1
Acetaminofen + Cafeina + Naproxeno,Tableta,Acetaminofen 250 mg + Naproxeno 220 mg + Cafeina 65 mg,mg,Movidol,Pauly,782.2587859,Bajo,1
Metoprolol,Tableta,Metoprolol 50 mg,mg,Metoprolol,Laproff,159.5688479,Bajo,1
Cefpodoxima,Tableta,Cefpodoxima 100 mg,mg,Doxcef,Legrand,6465.365583,Medio,2
Cefpodoxima,Tableta,Cefpodoxima 100 mg,mg,Doxcef,Legrand,3945.662338,Medio,2
Gentamicina,Tubo,"Gentamicina 0,1 g",g,Gentacrem,Von Haller,7570.69975,Bajo,1
Dipirona Sodica,Ampolla,"Dipirona 2,5 g",ml,Dipirona,Procaps,857.9451181,Bajo,1
Dipirona Sodica,Ampolla,Dipirona 1 g,ml,Dipirona,Procaps,383.0834163,Bajo,1
Dipirona Sodica,Ampolla,Dipirona 1 g,ml,Dipirona,Procaps,6.223719457,Bajo,1
Cefalotina,Vial,Cefalotina 1000 mg,mg,Cefalotina,Aurobindo,2500,Medio,2
Cefalotina,Vial,Cefalotina 1000 mg,mg,Cefalotina,Aurobindo,2416.666667,Medio,2
Piridoxina + Tiamina + Vitamina B12,Ampolla,Piridoxina 100 mg + Tiamina (Vit B1) 100 mg + Vitamina B12  1 mg,ml,Complejo B,Colmed,3566.666667,Medio,2
Piridoxina + Tiamina + Vitamina B12,Ampolla,Piridoxina 100 mg + Tiamina (Vit B1) 100 mg + Vitamina B12  1 mg,ml,Complejo B,Colmed,803.3333333,Medio,2
Acetaminofen + Fenilefrina + Cetirizina,Tableta,Cetirizina 5 mg + Acetaminofen 500 mg + Fenilefrina 5 mg,mg,Gripofen Plus,Seres,645.1121457,Medio,2
Acido Zoledronico,Vial,"Acido Zoledronico 5,33 mg",ml,Zidolamin,Chalver,192323.0769,Medio,2
Acido Zoledronico,Vial,"Acido Zoledronico 5,33 mg",ml,Zidolamin,Chalver,196231.5271,Medio,2
Factor De Coagulacion Viii,Vial,Factor Viii De Coagulación Recombinante 1000 IU,IU,Advate,Baxalta,1011741.766,Medio,2
Factor De Coagulacion Viii,Vial,Factor Viii De Coagulación Recombinante 250 IU,IU,Advate,Baxalta,251404.6135,Medio,2
Factor De Coagulacion Viii,Vial,Factor Viii De Coagulación Recombinante 500 IU,IU,Advate,Baxalta,489602.5756,Medio,2
Estrogenos Conjugados,Tubo,"Estrogenos Conjugados 62,5 mg",g,Feveny,Faes Farma,27695.66542,Alto,3
Estrogenos Conjugados,Tubo,"Estrogenos Conjugados 62,5 mg",g,Feveny,Faes Farma,27974.5927,Alto,3
Mometasona,Frasco,"Mometasona 0,1 g",ml,Furoato De Mometasona,La Sante,64615.73561,Bajo,1
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Tecnoquimicas,64.73228346,Medio,2
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Tecnoquimicas,522.8222557,Alto,3
Aceclofenaco,Tableta,Aceclofenaco 100 mg,mg,Zerodol,Ipca,2856.584019,Alto,3
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Genfar,386.2428571,Alto,3
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Genfar,103.5510204,Alto,3
N- Butil Bromuro De Hioscina Y Acetaminofen,Tableta,N- Butil Bromuro De Hioscina 325 mg + Acetaminofen 10 mg,mg,Estolas,Coopidrogas,580.5901161,Medio,2
Itraconazol,Capsula,Itraconazol 100 mg,mg,Micotrazol,Bioquifar,640,Bajo,1
Itraconazol,Capsula,Itraconazol 100 mg,mg,Micotrazol,Bioquifar,88.09823183,Bajo,1
Azitromicina,Vial,Azitromicina 200 mg,mg,Aztrobac,Bioquifar,8967.592068,Medio,2
Azitromicina,Vial,Azitromicina 200 mg,mg,Aztrobac,Bioquifar,7500,Medio,2
Metformina,Tableta,Metformina 500 mg,mg,Metformina,Genfar,1246.184367,Medio,2
Metformina,Tableta,Metformina 500 mg,mg,Metformina,Genfar,89.83187295,Bajo,1
Atorvastatina Y Ezetimibe,Tableta,Atorvastatina 20 mg + Ezetimiba 10 mg,mg,Colmibe,Farmaceutica Paraguaya,5121.255665,Medio,2
Atorvastatina Y Ezetimibe,Tableta,Atorvastatina 20 mg + Ezetimiba 10 mg,mg,Colmibe,Farmaceutica Paraguaya,671.1637283,Medio,2
Clorhexidina Combinaciones,Bolsa,"Gluconato De Clorhexidina 0,35 g",ml,Wescohex Rub,Electrowest,22307.12048,Medio,2
Clorhexidina Combinaciones,Bolsa,"Gluconato De Clorhexidina 0,35 g",ml,Wescohex Rub,Electrowest,16420.87681,Medio,2
Acetaminofen,Frasco,Acetaminofen 100 mg,ml,Dolpirin A,Biochem,3281.119392,Bajo,1
Acetaminofen,Frasco,Acetaminofen 100 mg,ml,Dolpirin A,Biochem,6611.264659,Medio,2
Piridoxina (Vit B6),Tableta,Piridoxina (Vit B6) 100 mg + Piridoxina (Vit B6) 150 mg,mg,Neurobion,Procter & Gamble,1167.810157,Medio,2
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Genfar,10662.67771,Alto,3
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Genfar,2318.862369,Alto,3
Donepezil,Tableta,Donepezil 5 mg,mg,Donepezilo,La Sante,1699.484715,Medio,2
Donepezil,Tableta,Donepezil 5 mg,mg,Donepezilo,La Sante,264.5324675,Bajo,1
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitazoxanida,La Sante,3915.625147,Medio,2
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitazoxanida,La Sante,562.519774,Bajo,1
Donepezil,Tableta,Donepezil 10 mg,mg,Donepezilo Clorhidrato,La Sante,3388.580652,Medio,2
Donepezil,Tableta,Donepezil 10 mg,mg,Donepezilo Clorhidrato,La Sante,327.7210884,Medio,2
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafilo,Genfar,1852.028721,Medio,2
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafilo,Genfar,145.6925093,Bajo,1
Metformina Y Sulfonilureas,Tableta,Metformina 1000 mg + Glimepirida 2 mg,mg,Amaryl M,Sanofi Aventis,1900,Medio,2
Metformina Y Sulfonilureas,Tableta,Metformina 1000 mg + Glimepirida 2 mg,mg,Amaryl M,Sanofi Aventis,1198.453271,Medio,2
Metformina Y Sulfonilureas,Tableta,Glimepirida 4 mg + Metformina 1000 mg,mg,Amaryl M,Sanofi Aventis,2710,Alto,3
Metformina Y Sulfonilureas,Tableta,Glimepirida 4 mg + Metformina 1000 mg,mg,Amaryl M,Sanofi Aventis,2037.668874,Alto,3
Vancomicina,Vial,Vancomicina 500 mg,mg,Sumicina,Blau,272.129637,Bajo,1
Vancomicina,Vial,Vancomicina 500 mg,mg,Sumicina,Blau,272.1010676,Bajo,1
Electrolitos Con Carbohidratos Rehidratacion Oral,Frasco,Electrolitos Con Carbohidratos Rehidratacion Oral,ml,Electrolit,Pisa,5808.044418,Medio,2
Electrolitos Con Carbohidratos Rehidratacion Oral,Frasco,Sales De Rehidratacion Oral,ml,Electrolit,Pisa,5524.835807,Bajo,1
Tobramicina,Frasco,Tobramicina 3 mg,ml,Tobravision,Vitalis,10082.34218,Medio,2
Tobramicina,Frasco,Tobramicina 3 mg,ml,Tobravision,Vitalis,5444.758233,Bajo,1
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 75 mg,mg,Pradaxa,Boehringer,2587.532143,Medio,2
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 75 mg,mg,Pradaxa,Boehringer,2239.302265,Medio,2
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 110 mg,mg,Pradaxa,Boehringer,3115.036483,Medio,2
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 110 mg,mg,Pradaxa,Boehringer,2669.506667,Medio,2
Gentamicina,Tubo,Gentamicina 5 mg,g,Purpucina,Bass,14407,Medio,2
Gentamicina,Tubo,Gentamicina 5 mg,g,Purpucina,Bass,5922.778396,Medio,2
Metoclopramida,Ampolla,Metoclopramida 10 mg,ml,Metoclopramida,Procaps,246.0352832,Medio,2
Piroxicam,Tubo,"Piroxicam 0,5 g",g,Oxivate,Comerfar,21846.60811,Alto,3
Piroxicam,Tubo,"Piroxicam 0,5 g",g,Piroxicam,Pentacoop,5423.56374,Medio,2
Piroxicam,Tubo,"Piroxicam 0,5 g",g,Piroxicam,Pentacoop,4967,Medio,2
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Memphis,6108.339177,Medio,2
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Gimed,496.5,Medio,2
Acetaminofen,Tableta,Acetaminofen 325 mg + N- Butil Bromuro De Hioscina 10 mg,mg,Acetaminofen + N-Butil Bromuro De Hioscina,Memphis,702.7937811,Medio,2
Neomicina + Polimixina + Dexametasona,Frasco,"Neomicina 3,5 mg + Polimixina B Sulfato 6000 ui + Dexametasona 1 mg",ml,Vitatriol,Vitalis,6048.872793,Medio,2
Rosuvastatina,Capsula,Rosuvastatina 40 mg,mg,Rovaril,Procaps,363.0188671,Medio,2
Neomicina + Polimixina + Dexametasona,Frasco,"Neomicina 3,5 mg + Polimixina B Sulfato 6000 ui + Dexametasona 1 mg",ml,Vitatriol,Vitalis,2087.873444,Medio,2
Cetirizina + Fenilefrina,Capsula,Cetirizina 5 mg + Fenilefrina 15 mg,mg,Alercet D,Procaps,7637.881137,Medio,2
Cetirizina + Fenilefrina,Capsula,Cetirizina 5 mg + Fenilefrina 15 mg,mg,Alercet D,Procaps,2844.048193,Medio,2
Salbutamol,Frasco,Salbutamol 40 mg,ml,Salbutamol,Laproff,2682.620023,Bajo,1
Salbutamol,Frasco,Salbutamol 40 mg,ml,Salbutamol,Laproff,1579.487901,Bajo,1
Tizanidina,Tableta,Tizanidina 2 mg,mg,Tizanidina,American Generics,1953.577983,Medio,2
Tizanidina,Tableta,Tizanidina 2 mg,mg,Tizanidina,American Generics,225.9741697,Medio,2
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Lafrancol,692.4068634,Medio,2
Tizanidina,Tableta,Tizanidina 4 mg,mg,Tizanidina,American Generics,2640.231912,Medio,2
Tizanidina,Tableta,Tizanidina 4 mg,mg,Tizanidina,American Generics,1941.086849,Alto,3
Lamotrigina,Tableta,Lamotrigina 100 mg,mg,Fenebra,Pisa,14.21428571,Bajo,1
Clindamicina + Peroxido De Benzoilo,Tubo,Clindamicina 1 g + Peroxido De Benzoilo 5 g,g,Sinac,Mega Labs,59771.95345,Medio,2
Clindamicina + Peroxido De Benzoilo,Tubo,Clindamicina 1 g + Peroxido De Benzoilo 5 g,g,Sinac,Mega Labs,39685.56265,Medio,2
Betahistina,Tableta,Betahistina 24 mg,mg,Betaserc,Lafrancol,5697.8,Alto,3
Betahistina,Tableta,Betahistina 24 mg,mg,Betaserc,Lafrancol,3090.736318,Alto,3
Desloratadina,Tableta,Desloratadina 5 mg,mg,Desloratadina,American Generics,1006.845276,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Ibuprofeno,Pentacoop,175.6966747,Bajo,1
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Ibuprofeno,Pentacoop,174,Bajo,1
Hidroxizina,Tableta,Hidroxicina 25 mg,mg,Hidroxicina,Memphis,186.9262305,Medio,2
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Cardiomax,Lafrancol,9146.816667,Alto,3
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Cardiomax,Lafrancol,6658.095238,Alto,3
Ampicilina,Tableta,Ampicilina 1 g,g,Ampicilina,Pentacoop,607.6681877,Bajo,1
Ampicilina,Tableta,Ampicilina 1 g,g,Ampicilina,Pentacoop,280,Bajo,1
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Cardiomax,Lafrancol,19912.27551,Alto,3
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Cardiomax,Lafrancol,12269.78632,Alto,3
Toxina Botulinica,Vial,Toxina Botulinica 100 U,U,Siax,Global Skin,467997.6077,Medio,2
Mometasona,Tubo,"Mometasona 0,1 g",g,Leaxin,Skindrug,42896.79961,Medio,2
Fenol,Frasco,"Fenol 1,4 g",ml,Gripofen,Seres,15507,Medio,2
Betametasona,Ampolla,Betametasona 10 mg + Betametasona 4 mg,ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,15300.42502,Bajo,1
Betametasona,Ampolla,Betametasona 10 mg + Betametasona 4 mg,ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,5000,Bajo,1
Betametasona,Ampolla,"Betametasona 6,4282 mg + Betametasona 2,6314 mg",ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,11402.63158,Medio,2
Betametasona,Ampolla,"Betametasona 6,4282 mg + Betametasona 2,6314 mg",ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,3061.538462,Medio,2
Betametasona,Ampolla,"Betametasona 2,6 mg + Betametasona 6,4 mg",ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,6742.574436,Medio,2
Betametasona,Ampolla,"Betametasona 2,6 mg + Betametasona 6,4 mg",ml,Betametasona Dipropionato + Betametasona Fosfato Disodico,Colmed,4600,Medio,2
Aminofilina,Ampolla,Aminofilina 240 mg,ml,Aminofilina,Procaps,1700,Medio,2
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrizin,Comerfar,14916.18479,Alto,3
Clobetasol,Frasco,"Clobetasol Propionato 0,05 g",ml,Exania,Siegfried,45492.82924,Medio,2
Clobetasol,Frasco,"Clobetasol Propionato 0,05 g",ml,Exania,Siegfried,31991.64286,Medio,2
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Tecnoquimicas,523.610507,Medio,2
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Tecnoquimicas,138.0524064,Medio,2
Betametasona Y Antibioticos,Tubo,Betametasona Y Antibioticos,g,Dermocuad,Tecnofar,14937.3007,Bajo,1
Betametasona Y Antibioticos,Tubo,Betametasona Y Antibioticos,g,Dermocuad,Tecnofar,7653.239715,Medio,2
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Taxanida,Labinco,1666.581163,Bajo,1
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Taxanida,Labinco,598.6666667,Bajo,1
Nitazoxanida,Frasco,Nitazoxanida 100 mg,ml,Taxanida,Labinco,16073.82899,Medio,2
Nitazoxanida,Frasco,Nitazoxanida 100 mg,ml,Taxanida,Labinco,6254.675972,Medio,2
Acetaminofen,Frasco,Acetaminofen 5 g,ml,Dolex Niños,Glaxosmithkline,18378.49223,Alto,3
Mometasona,Frasco,"Mometasona 0,05 g",ml,Procaps Broner,Procaps,72000,Medio,2
Metronidazol + Nifuroxazida,Frasco,Nifuroxazida 4 g + Metronidazol Base 5 g,ml,Metrosher,Ruecam,12804.73568,Alto,3
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,La Sante,34,Medio,2
Ciprofloxacina,Tableta,Ciprofloxacina 500 mg,mg,Bioquiflox,Bioquifar,740.9548355,Medio,2
Ciprofloxacina,Tableta,Ciprofloxacina 500 mg,mg,Bioquiflox,Bioquifar,194.3031915,Bajo,1
Sulfametoxazol Y Trimetoprim,Ampolla,Trimetoprim 80 mg + Sulfametoxazol 400 mg,ml,Trimetoprim,Vitalis,4420.219429,Alto,3
Gentamicina,Tubo,"Gentamicina 0,1 g",g,Gentamas,Comerfar,11537,Alto,3
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Tecnoquimicas,153.1410035,Medio,2
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Tecnoquimicas,320.4522737,Medio,2
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Garmisch Rosuvax,Mega Labs,6054.066667,Alto,3
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Garmisch Rosuvax,Mega Labs,113.8244898,Medio,2
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Garmisch Rosuvax,Mega Labs,7060.087447,Alto,3
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Garmisch Rosuvax,Mega Labs,211.5714286,Medio,2
Rocuronio Bromuro,Ampolla,Rocuronio Bromuro 50 mg,ml,Rocuronio,Vitalis,10911.50344,Medio,2
Tamsulosina,Tableta,"Tamsulosina 0,4 mg",mg,Omnic Ocas,Astellas,6599.9,Alto,3
Tamsulosina,Tableta,"Tamsulosina 0,4 mg",mg,Omnic Ocas,Astellas,1389.317102,Medio,2
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Bromuro De Rocuronio,Pharmayect,10267.41573,Bajo,1
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Bromuro De Rocuronio,Pharmayect,9000,Bajo,1
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Colmed,5986.357616,Medio,2
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Colmed,2700,Medio,2
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Procaps,2400,Bajo,1
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Procaps,2267.423231,Bajo,1
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Procaps,3440,Bajo,1
Clotrimazol,Tubo,Clotrimazol 1 g,g,Clotrimazol,Procaps,3472.284644,Medio,2
Heparina,Ampolla,Heparina 25000 ui,ml,Heparina,Sanderson,373.5898935,Medio,2
Clonidina,Tableta,"Clonidina 0,15 mg",mg,Clonidina,Ecar,612.5,Medio,2
Clonidina,Tableta,"Clonidina 0,15 mg",mg,Clonidina,Ecar,29.05580054,Bajo,1
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Tecnoquimicas,674.6,Medio,2
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Tecnoquimicas,2183.986055,Medio,2
Candesartan,Tableta,Candesartan 8 mg,mg,Candeprex,Mega Labs,519.4666667,Alto,3
Candesartan,Tableta,Candesartan 8 mg,mg,Candeprex,Mega Labs,258.7172073,Alto,3
Candesartan,Tableta,Candesartan 16 mg,mg,Candeprex,Mega Labs,1039.066667,Alto,3
Candesartan,Tableta,Candesartan 16 mg,mg,Candeprex,Mega Labs,909.3714866,Medio,2
Mesalazina,Supositorio,Mesalazina 1000 mg,mg,Pentasa,Ferring,5290,Medio,2
Mesalazina,Supositorio,Mesalazina 1000 mg,mg,Pentasa,Ferring,5071.805671,Medio,2
Acido Salicilico Y Acido Lactico,Frasco,"Acido Salicilico 18,095 g + Acido Lactico 4,52375 g",ml,Colloplus,Grunenthal,22704.42829,Medio,2
Acido Salicilico Y Acido Lactico,Frasco,"Acido Salicilico 18,095 g + Acido Lactico 4,52375 g",ml,Colloplus,Grunenthal,11389.78451,Medio,2
Ibuprofeno Y Cafeina,Capsula,Ibuprofeno 400 mg + Cafeina 65 mg,mg,Dolpirin Max,Biochem,899.5000414,Bajo,1
Levodopa + Carbidopa + Entacapona,Tableta,Carbidopa 50 mg + Entacapona 200 mg + Levodopa 200 mg,mg,Stalevo,Sandoz,2643.327491,Medio,2
Levodopa + Carbidopa + Entacapona,Tableta,Carbidopa 50 mg + Entacapona 200 mg + Levodopa 200 mg,mg,Stalevo,Sandoz,3840.774786,Medio,2
Amoxicilina Y Sulbactam,Frasco,Amoxicilina 20 g + Sulbactam 5 g,g,Eumoxin Duo Forte,Bioquifar,49118.75,Bajo,1
Amoxicilina Y Sulbactam,Frasco,Amoxicilina 20 g + Sulbactam 5 g,g,Eumoxin Duo Forte,Bioquifar,49400,Bajo,1
Piritinol,Frasco,"Piritinol 3,2 g",ml,Encefabol,Merck,63777,Medio,2
Lanreotido,Jeringa Prellenada,Lanreotido 120 mg,ml,Somatuline,Ipsen,4163643,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Espidifen,Zambon,895.6666667,Medio,2
Cloruro De Sodio,Ampolla,"Cloruro De Sodio 1,17 g",ml,Cloruro De Sodio,Sanderson,4.135304348,Medio,2
Adapalene,Tubo,"Adapalene 0,3 g",g,Differin,Galderma,57200,Bajo,1
Tadalafil,Tableta,Tadalafilo 20 mg,mg,Ludika,Ecar,10944.35056,Medio,2
Tadalafil,Tableta,Tadalafilo 20 mg,mg,Ludika,Ecar,819.5672341,Bajo,1
Hidrocortisona,Tubo,Hidrocortisona 1 g,g,Hidrocortisona,Anglopharma,4936.363636,Medio,2
Hidrocortisona,Tubo,Hidrocortisona 1 g,g,Hidrocortisona,Anglopharma,1889.052023,Bajo,1
Esomeprazol,Sobre,Esomeprazol 10 mg,mg,Nexium,Astrazeneca,5510,Alto,3
Esomeprazol,Sobre,Esomeprazol 10 mg,mg,Nexium,Astrazeneca,2781.005025,Alto,3
Tramadol,Capsula,Tramadol 50 mg,mg,Tramadol,Tecnoquimicas,953.088911,Alto,3
Tramadol,Capsula,Tramadol 50 mg,mg,Tramadol,Tecnoquimicas,275.2765957,Medio,2
Tizanidina,Capsula,Tizanidina 6 mg,mg,Cimbrar,Euroetika,13064.79103,Medio,2
Tizanidina,Capsula,Tizanidina 6 mg,mg,Cimbrar,Euroetika,6581.073133,Medio,2
Irbesartan,Tableta,Irbesartan 150 mg,mg,Irbesartan,La Sante,494.2390692,Medio,2
Irbesartan,Tableta,Irbesartan 150 mg,mg,Irbesartan,La Sante,172.9820988,Bajo,1
Nifuroxazida Y Metronidazol,Frasco,Nifuroxazida 5 g + Metronidazol 4 g,ml,Mebinol Complex,Gimed,16292,Medio,2
Metocarbamol,Tableta,Metocarbamol 750 mg,mg,Metocarbamol,Profma,75.0693289,Bajo,1
Loratadina,Tableta,Loratadina 10 mg,mg,Loratadina,Gimed,357,Alto,3
Acido Micofenolico,Tableta,Acido Micofenolico 500 mg,mg,Micoflavin,Mega Labs,1553.036055,Medio,2
Paroxetina,Tableta,Paroxetina 20 mg,mg,Paroxetina,Sandoz,1091,Bajo,1
Irbesartan,Tableta,Irbesartan 300 mg,mg,Irbesartan,La Sante,1025.552699,Medio,2
Irbesartan,Tableta,Irbesartan 300 mg,mg,Irbesartan,La Sante,268.0494164,Bajo,1
Diclofenaco,Tubo,"Diclofenaco 1,16 g",g,Diclofenaco,La Sante,12904.45503,Medio,2
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Tecnoquimicas,427.1830986,Alto,3
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Tecnoquimicas,1258.159188,Medio,2
Fenilefrina,Frasco,Fenilefrina 100 mg,ml,Dylafen,Pharma Medics,37045.9596,Medio,2
Quetiapina,Tableta,Quetiapina 300 mg,mg,Quetiapina,Tecnoquimicas,970.797619,Medio,2
Quetiapina,Tableta,Quetiapina 300 mg,mg,Quetiapina,Tecnoquimicas,2688.972568,Medio,2
Valganciclovir,Frasco,Valganciclovir 12 g,g,Valixa Polvo,Roche,820471.2,Medio,2
Valganciclovir,Frasco,Valganciclovir 12 g,g,Valixa Polvo,Roche,882532.6207,Medio,2
Adapaleno Combinaciones,Tubo,"Adapalene 0,1 g + Adapalene 1 g",g,Zudenina,Mega Labs,103974.2935,Medio,2
Adapaleno Combinaciones,Tubo,"Adapalene 0,1 g + Adapalene 1 g",g,Zudenina,Mega Labs,64203.54545,Medio,2
Beclometasona,Aerosol,Beclometasona 250 mcg,dosis,Beclometasona,Tecnoquimicas,58978.16604,Medio,2
Simvastatin Y Ezetimibe,Capsula,Ezetimiba 10 mg + Simvastatina 40 mg,mg,Ezetimiba,Colmed,4966.666667,Medio,2
Simvastatin Y Ezetimibe,Capsula,Ezetimiba 10 mg + Simvastatina 40 mg,mg,Ezetimiba,Colmed,709.3370166,Medio,2
Simvastatin Y Ezetimibe,Capsula,Simvastatina 20 mg + Ezetimiba 10 mg,mg,Ezetimiba,Colmed,2232.291667,Medio,2
Simvastatin Y Ezetimibe,Capsula,Simvastatina 20 mg + Ezetimiba 10 mg,mg,Ezetimiba,Colmed,574.1943396,Medio,2
Nifuroxazida Y Metronidazol,Capsula,Nifuroxazida 600 mg + Metronidazol 200 mg,mg,Mebinol Complex,Gimed,861.2,Medio,2
Vitamina C,Frasco,Vitamina C 100 mg,ml,Vitamina C,Gimed,6517,Medio,2
Vitamina C,Frasco,Vitamina C 100 mg,ml,Vitamina C,Gimed,5550,Medio,2
Hidroxido De Aluminio + Hidroxido De Magnesio + Simeticona,Frasco,"Simeticona 0,4 g + Hidroxido De Aluminio 4 g + Hidroxido De Magnesio 4 g",ml,Hidrosin,Comerfar,18231.03397,Medio,2
Hiosamina,Tableta,N- Butil Bromuro De Hioscina 10 mg,mg,Hioscina N-Butil Bromuro,Pentacoop,473.7931495,Medio,2
Sulfadiazina De Plata,Tubo,Sulfadiazina De Plata 1 g,g,Sulfadiazina De Plata,Pentacoop,5794.472446,Bajo,1
Sulfadiazina De Plata,Frasco,Sulfadiazina De Plata 1 g,g,Sulfadiazina De Plata,Pentacoop,7461.443161,Medio,2
Sulfadiazina De Plata,Frasco,Sulfadiazina De Plata 1 g,g,Sulfadiazina De Plata,Pentacoop,5000,Medio,2
Levofloxacina,Tableta,Levofloxacina 500 mg,mg,Levofloxacina,Sandoz,3317,Bajo,1
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorfit,Bioquifar,283.3333333,Bajo,1
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorfit,Bioquifar,54.87015945,Bajo,1
Cetirizina,Frasco,Cetirizina 100 mg,ml,Zeridil,Bioquifar,5951.958225,Bajo,1
Cetirizina,Frasco,Cetirizina 100 mg,ml,Zeridil,Bioquifar,5417.647059,Medio,2
Atorvastatina Y Ezetimibe,Tableta,Ezetimiba 10 mg + Atorvastatina 20 mg,mg,Garmisch Colestir,Mega Labs,4561.53405,Alto,3
Atorvastatina Y Ezetimibe,Tableta,Ezetimiba 10 mg + Atorvastatina 20 mg,mg,Garmisch Colestir,Mega Labs,1028.508349,Medio,2
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorfit,Bioquifar,394.2089094,Bajo,1
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorfit,Bioquifar,67.8,Medio,2
Fluoxetina,Frasco,"Fluoxetina 0,4 g",ml,Dizpacil,Bioquifar,5068.907563,Bajo,1
Fluoxetina,Frasco,"Fluoxetina 0,4 g",ml,Dizpacil,Bioquifar,2320.856788,Bajo,1
Cefepima,Vial,Cefepima 1 g,g,Cefepime,Venus,4186,Medio,2
